2,Kinetic Kashmir,6N/7D,"Set like a jewelled crown on the map of India, Kashmir is a multi-faceted diamond, changing its hues with the seasons - always extravagantly beautiful. Two major Himalayan ranges, the Great Himalayan Range and the Pir Panjal, surround the landscape from the north and south respectively.",18499 ? / Per Person,http://www.travios.in/?p=1431 
3,Karazmatic Kerala ,6N/7D,"Thekkady (Idukki district) is the location of the Periyar National Park, which is an important tourist attraction in the Kerala state of India.The sanctuary is famous for its dense evergreen, semi-evergreen, moist deciduous forests and savanna grass lands. It is home to herds of elephants, sambar, tigers, gaur, lion-tailed Macaques and Nilgiri Langurs",17499 ? / Per Person,http://www.travios.in/?p=1364 
4,Royal Rajsthan ,6N/7D,"Rajasthan is a northern Indian state. Its palaces and forts are reminders of the many kingdoms that historically vied for the region. In its capital, Jaipur, are the 18th-century City Palace and Hawa Mahal, a former cloister for royal women, fronted by a 5-story sandstone screen. Amer Fort, atop a nearby hill, was built by a Rajput prince in the 1600s.",16499 ?  / Per Person,http://www.travios.in/?p=1647
5,Gomantak Goa,3N/4D,"Goa is a state located in the West India region of the Konkan, it is bounded by the state of Maharashtra to the north, and by Karnataka to the east and south, while the Arabian Sea forms its western coast.",8999 ?  / Per Person,http://www.travios.in/?p=1398
6,Levin Leh Ladakh,6N/7D,"Leh, the capital of Ladakh is situated at a height of 3505 meters and is towards the eastern parts of Jammu and Kashmir. The region is watered by the Zanskar River, which flows into the Indus River just below. Spilling out of a side valley that tapers north towards eroded snow-capped peaks, the Ladakhi capital sprawls from the foot of a ruined Tibetan style palace - a maze of mud-brick and concrete flanked on one side by cream-coloured desert, and on the other by a swathe of lush irrigated farmland.  ",19999 ?  / Per Person,http://www.travios.in/?p=1444 
1,Sineric Srilanka ,4N/5D,"Sri Lanka, the Democratic Socialist Republic of Sri Lanka and known from the beginning of British colonial rule until 1972 as Ceylon is an island country in South Asia near south-east India. Sri Lanka has maritime borders with India to the northwest and the Maldives to the southwest. Its documented history spans 3,000 years, with evidence of pre-historic human settlements dating back to at least 125,000 years.",26800 ? / Per Person,http://www.travios.in/?p=1686
2,Terrific Thailand,4N/5D,"Thailand is a country on Southeast Asia’s Indochina peninsula known for tropical beaches, opulent royal palaces, ancient ruins and ornate temples displaying figures of Buddha, a revered symbol. In Bangkok, the capital, an ultramodern cityscape rises next to quiet canal and riverside communities. Commercial hubs such as Chinatown consist of labyrinthine alleys crammed with shop houses, markets and diners.",22499 ? / Per Person,http://www.travios.in/?p=1682 
3,Dazzling Dubai ,4N/5D,"Dubai is a city in the United Arab Emirates known for luxury shopping, ultramodern architecture and a lively nightlife scene. Burj Khalifa, an 830m-tall tower, dominates the skyscraper-filled skyline. At its foot lies Dubai Fountain, with jets and lights choreographed to music.",32800 ? / Per Person,http://www.travios.in/?p=1693
4,Sizzling Singapore ,4N/5D,"Singapore, an island city-state off southern Malaysia, is a global financial center with a tropical climate and multicultural population. In circa-1820 Chinatown stands the red-and-gold Buddha’s Tooth Relic Temple, Little India offers colorful souvenirs and Arab Street is lined with fabric shops. Singapore is also known for eclectic street fare, served in hawker centers such as Tiong Bahru and Maxwell Road.",38700 ? / Per Person,http://www.travios.in/?p=1696 
5,Magical Malaysia,4N/5D,"Malaysia is a Southeast Asian country occupying the Malaysian Peninsula and part of the island of Borneo. It's known for its beaches, rainforests and mix of Malay, Chinese, Indian and European influences. The sprawling capital, Kuala Lumpur, is home to colonial buildings, busy shopping districts such as Bukit Bintang and skyscrapers including the iconic, 451m-tall Petronas Twin Towers.",29800 ? / Per Person,http://www.travios.in/?p=1689
